Full Name,Political Party,Party Short,Twitter,Notes,Image_Adress
Mevlüt KARAKAYA,Milliyetçi Hareket Partisi,MHP,https://twitter.com/KarakayaMevlut,Ankara,../../images/partiler/mhp.png
Türabi KAYAN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/TurabiKayan,Kırklareli,../../images/partiler/chp.png
Gülizar BİÇER KARACA,Cumhuriyet Halk Partisi,CHP,https://twitter.com/GulizarBicer,Denizli,../../images/partiler/chp.png
İbrahim Halil FIRAT,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/AvHalilFirat,Adıyaman,../../images/partiler/akp.png
Mustafa YENEROĞLU,Demokrasi ve Atılım Partisi,DEVA,https://twitter.com/myeneroglu,İstanbul,../../images/partiler/deva.png
Nihat YEŞİL,Cumhuriyet Halk Partisi,CHP,https://twitter.com/ChpNihatYesil,Ankara,../../images/partiler/chp.png
Arzu ERDEM,Milliyetçi Hareket Partisi,MHP,https://twitter.com/arzuerdemDB,İstanbul,../../images/partiler/mhp.png
Utku ÇAKIRÖZER,Cumhuriyet Halk Partisi,CHP,https://twitter.com/utkucakirozer,Eskişehir,../../images/partiler/chp.png
Ahmet AKIN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/ahmetakin,Balıkesir,../../images/partiler/chp.png
Sena Nur ÇELİK,Adalet ve Kalkınma Partisi,AKP,,Antalya,../../images/partiler/akp.png
İsmail Faruk AKSU,Milliyetçi Hareket Partisi,MHP,https://twitter.com/ifarukaksu,İstanbul,../../images/partiler/mhp.png
Emine YAVUZ GÖZGEÇ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/Emine_Gozgec16,Bursa,../../images/partiler/akp.png
Lütfiye Selva ÇAM,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/selvacam,Ankara,../../images/partiler/akp.png
Abdulhamit GÜL,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/abdulhamitgul,Gaziantep,../../images/partiler/akp.png
Mustafa YEL,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/MustafaYel59,Tekirdağ,../../images/partiler/akp.png
Ahmet Eşref FAKIBABA,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/aefakibaba,Şanlıurfa,../../images/partiler/akp.png
Kadri Enis BERBEROĞLU,Cumhuriyet Halk Partisi,CHP,https://twitter.com/EnisBerberoglu1,İstanbul,../../images/partiler/chp.png
Çetin ARIK,Cumhuriyet Halk Partisi,CHP,https://twitter.com/DrCetinArik,Kayseri,../../images/partiler/chp.png
Tahsin TARHAN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/tahsintarhan,Kocaeli,../../images/partiler/chp.png
Baki ŞİMŞEK,Milliyetçi Hareket Partisi,MHP,https://twitter.com/bakisimsekmhp,Mersin,../../images/partiler/mhp.png
Fatma KAPLAN HÜRRİYET,Cumhuriyet Halk Partisi,CHP,https://twitter.com/fatmakaplan,Kocaeli,../../images/partiler/chp.png
Ali KENANOĞLU,Halkların Demokratik Partisi,HDP,https://twitter.com/alikenanoglu,İstanbul,../../images/partiler/hdp.png
Erkan KANDEMİR,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/erkankandemir,İstanbul,../../images/partiler/akp.png
Ayhan BİLGEN,Halkların Demokratik Partisi,HDP,https://twitter.com/ayhanbilgen,Kars,../../images/partiler/hdp.png
Muhammet Emin AKBAŞOĞLU,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/akbasogluemin,Çankırı,../../images/partiler/akp.png
Nevzat CEYLAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/NevzatCeylan06,Ankara,../../images/partiler/akp.png
Mahmut Celadet GAYDALI,Halkların Demokratik Partisi,HDP,https://twitter.com/HdpGaydali,Bitlis,../../images/partiler/hdp.png
Hişyar ÖZSOY,Halkların Demokratik Partisi,HDP,https://twitter.com/hisyarozsoy,Diyarbakır,../../images/partiler/hdp.png
Jülide SARIEROĞLU,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/jsarieroglu,Adana,../../images/partiler/akp.png
İzzet Ulvi YÖNTER,Milliyetçi Hareket Partisi,MHP,https://twitter.com/UlviYonter,İstanbul,../../images/partiler/mhp.png
Selin SAYEK BÖKE,Cumhuriyet Halk Partisi,CHP,https://twitter.com/selinsayekboke,İzmir,../../images/partiler/chp.png
Mithat SANCAR,Halkların Demokratik Partisi,HDP,https://twitter.com/mithatsancarr,Mardin,../../images/partiler/hdp.png
Sezai TEMELLİ,Halkların Demokratik Partisi,HDP,https://twitter.com/SezaiTemelli,Van,../../images/partiler/hdp.png
Oğuz Kaan SALICI,Cumhuriyet Halk Partisi,CHP,https://twitter.com/oguzksalici,İstanbul,../../images/partiler/chp.png
Zeynel EMRE,Cumhuriyet Halk Partisi,CHP,https://twitter.com/ZeynelEmre_,İstanbul,../../images/partiler/chp.png
Serkan TOPAL,Cumhuriyet Halk Partisi,CHP,https://twitter.com/serkantopalchp,Hatay,../../images/partiler/chp.png
Özlem ZENGİN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/AvOzlemZengin,Tokat,../../images/partiler/akp.png
Dirayet Dilan TAŞDEMİR,Halkların Demokratik Partisi,HDP,https://twitter.com/dilan_dirayet,Ağrı,../../images/partiler/hdp.png
Berdan ÖZTÜRK,Halkların Demokratik Partisi,HDP,https://twitter.com/berdan_ozturk,Ağrı,../../images/partiler/hdp.png
Ayşe ACAR BAŞARAN,Halkların Demokratik Partisi,HDP,https://twitter.com/ayseacar_b,Batman,../../images/partiler/hdp.png
Alican ÖNLÜ,Halkların Demokratik Partisi,HDP,https://twitter.com/onlu_alican,Tunceli,../../images/partiler/hdp.png
Feleknas UCA,Halkların Demokratik Partisi,HDP,https://twitter.com/Feleknasuca,Batman,../../images/partiler/hdp.png
Radiye Sezer KATIRCIOĞLU,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/sezerkatirciogl,Kocaeli,../../images/partiler/akp.png
Muharrem ERKEK,Cumhuriyet Halk Partisi,CHP,https://twitter.com/MuharremErkek17,Çanakkale,../../images/partiler/chp.png
Ahmet Tuncay ÖZKAN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/ATuncayOzkan,İzmir,../../images/partiler/chp.png
Hüda KAYA,Halkların Demokratik Partisi,HDP,https://twitter.com/HudaKaya777,İstanbul,../../images/partiler/hdp.png
Nimetullah ERDOĞMUŞ,Halkların Demokratik Partisi,HDP,https://twitter.com/nimetullah__e,Şanlıurfa,../../images/partiler/hdp.png
Kazım ARSLAN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/kazimarslan20,Denizli,../../images/partiler/chp.png
Tacettin BAYIR,Cumhuriyet Halk Partisi,CHP,https://twitter.com/tacettinbayir,İzmir,../../images/partiler/chp.png
Fuat KÖKTAŞ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/FuatKoktas55,Samsun,../../images/partiler/akp.png
Nurhayat ALTACA KAYIŞOĞLU,Cumhuriyet Halk Partisi,CHP,https://twitter.com/nurhayataltaca,Bursa,../../images/partiler/chp.png
Hüseyin YILDIZ,Cumhuriyet Halk Partisi,CHP,https://twitter.com/mvhuseyinyildiz,Aydın,../../images/partiler/chp.png
Kemal ZEYBEK,Cumhuriyet Halk Partisi,CHP,https://twitter.com/KemalZeybek55,Samsun,../../images/partiler/chp.png
İsmail OK,BAĞIMSIZ,BAĞIMSIZ,https://twitter.com/ismailok_,Balıkesir,../../images/partiler/bagımsız.jpg
Mehmet Emin ŞİMŞEK,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/eminsimsekmus,Muş,../../images/partiler/akp.png
Mustafa TUNCER,Cumhuriyet Halk Partisi,CHP,https://twitter.com/Mustafa_CHP,Amasya,../../images/partiler/chp.png
Özcan PURÇU,Cumhuriyet Halk Partisi,CHP,https://twitter.com/ozcanpurcu,İzmir,../../images/partiler/chp.png
Lale KARABIYIK,Cumhuriyet Halk Partisi,CHP,https://twitter.com/lalekarabiyik,Bursa,../../images/partiler/chp.png
Mahmut TOĞRUL,Halkların Demokratik Partisi,HDP,https://twitter.com/togrularya,Gaziantep,../../images/partiler/hdp.png
Erkan AYDIN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/erkanecz,Bursa,../../images/partiler/chp.png
Çiğdem KARAASLAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/CK_Samsun,Samsun,../../images/partiler/akp.png
Bülent TÜFENKCİ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/bulenttufenkci,Malatya,../../images/partiler/akp.png
Leyla GÜVEN,Halkların Demokratik Partisi,HDP,https://twitter.com/LeylaGuvenkcd,Hakkari,../../images/partiler/hdp.png
Meral DANIŞ BEŞTAŞ,Halkların Demokratik Partisi,HDP,https://twitter.com/meraldanis,Siirt,../../images/partiler/hdp.png
Filiz KERESTECİOĞLU DEMİR,Halkların Demokratik Partisi,HDP,https://twitter.com/FilizKer,Ankara,../../images/partiler/hdp.png
Garo PAYLAN,Halkların Demokratik Partisi,HDP,https://twitter.com/GaroPaylan,Diyarbakır,../../images/partiler/hdp.png
Orhan SARIBAL,Cumhuriyet Halk Partisi,CHP,https://twitter.com/orhansaribalchp,Bursa,../../images/partiler/chp.png
Kamil Okyay SINDIR,Cumhuriyet Halk Partisi,CHP,https://twitter.com/kamilsindir,İzmir,../../images/partiler/chp.png
Hüseyin YAYMAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/HuseyinYayman,Hatay,../../images/partiler/akp.png
Onursal ADIGÜZEL,Cumhuriyet Halk Partisi,CHP,https://twitter.com/onursaladiguzel,İstanbul,../../images/partiler/chp.png
Metin BULUT,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/metinbulut23,Elazığ,../../images/partiler/akp.png
Gamze AKKUŞ İLGEZDİ,Cumhuriyet Halk Partisi,CHP,https://twitter.com/gamzeilgezdi,İstanbul,../../images/partiler/chp.png
Erhan USTA,IYI Parti,IYI,https://twitter.com/55erhanusta,Samsun,../../images/partiler/iyi.png
Ali ŞEKER,Cumhuriyet Halk Partisi,CHP,https://twitter.com/draliseker,İstanbul,../../images/partiler/chp.png
Mehmet ÖZHASEKİ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/mehmetozhaseki,Kayseri,../../images/partiler/akp.png
Mustafa KÖSE,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/avmustafakose,Antalya,../../images/partiler/akp.png
Aziz BABUŞCU,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/ABabuscu,İstanbul,../../images/partiler/akp.png
Markar ESEYAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/markaresayan,İstanbul,../../images/partiler/akp.png
Ravza KAVAKCI KAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/RavzaKavakci,İstanbul,../../images/partiler/akp.png
Mehmet Akif YILMAZ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/MAkifYilmaz42,Kocaeli,../../images/partiler/akp.png
Selami ALTINOK,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/Selami__Altinok,Erzurum,../../images/partiler/akp.png
Ahmet Sami CEYLAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/AhmetSCeylan,Çorum,../../images/partiler/akp.png
Cihan PEKTAŞ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/cihanpektas1,Gümüşhane,../../images/partiler/akp.png
Cengiz AYDOĞDU,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/cengizaydogdu_,Aksaray,../../images/partiler/akp.png
Erkan HABERAL,Milliyetçi Hareket Partisi,MHP,https://twitter.com/HaberalErkan,Ankara,../../images/partiler/mhp.png
Hacı Osman AKGÜL,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/osmanakgul29,Gümüşhane,../../images/partiler/akp.png
Celalettin GÜVENÇ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/celalettingvnc,Kahramanmaraş,../../images/partiler/akp.png
Sibel ÖZDEMİR,Cumhuriyet Halk Partisi,CHP,https://twitter.com/dr_sozdemir,İstanbul,../../images/partiler/chp.png
Serap YAŞAR,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/serapyahsiyasar,İstanbul,../../images/partiler/akp.png
İsmail Emrah KARAYEL,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/iekarayel,Kayseri,../../images/partiler/akp.png
Hülya NERGİS,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/NergisAtci,Kayseri,../../images/partiler/akp.png
Ergün TAŞCI,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/erguntasci52,Ordu,../../images/partiler/akp.png
Metin GÜNDOĞDU,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/metingunordu,Ordu,../../images/partiler/akp.png
Atila SERTEL,Cumhuriyet Halk Partisi,CHP,https://twitter.com/AtillaSertell,İzmir,../../images/partiler/chp.png
İbrahim Halil YILDIZ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/av_ihalilyildiz,Şanlıurfa,../../images/partiler/akp.png
Mehmet Ali CEVHERİ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/malicevheri,Şanlıurfa,../../images/partiler/akp.png
Ömer Fethi GÜRER,Cumhuriyet Halk Partisi,CHP,https://twitter.com/fethigurer,Niğde,../../images/partiler/chp.png
Hasan TURAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/hasanturantr,İstanbul,../../images/partiler/akp.png
Ahmet SORGUN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/sorgunahmet,Konya,../../images/partiler/akp.png
Murat BAKAN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/CHPMuratBakan,İzmir,../../images/partiler/chp.png
Sami ÇAKIR,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/scakir20,Kocaeli,../../images/partiler/akp.png
Cemil YAMAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/cemil_yaman,Kocaeli,../../images/partiler/akp.png
İbrahim AYDIN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/07ibrahimaydin,Antalya,../../images/partiler/akp.png
Tamer DAĞLI,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/Tamer_Dagli,Adana,../../images/partiler/akp.png
Nazım MAVİŞ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/NazimMavis,Sinop,../../images/partiler/akp.png
Mustafa Hilmi DÜLGER,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/Hilmi_Dulger79,Kilis,../../images/partiler/akp.png
Öztürk YILMAZ,Yenilik Partisi,YENILIK,https://twitter.com/ozturkyilmazYP,Ardahan,../../images/partiler/Yenilik_Partisi.png
Ahmet TAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/ahmettan43,Kütahya,../../images/partiler/akp.png
Hulusi ŞENTÜRK,Adalet ve Kalkınma Partisi,AKP,,İstanbul,../../images/partiler/akp.png
Hacı ÖZKAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/haciozkan33,Mersin,../../images/partiler/akp.png
Mahmut Atilla KAYA,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/MAtillaKaya,İzmir,../../images/partiler/akp.png
Serkan BAYRAM,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/AvSerkanBayram,İstanbul,../../images/partiler/akp.png
Cemal ÖZTÜRK,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/mvcemalozturk,Giresun,../../images/partiler/akp.png
Sabri ÖZTÜRK,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/AvSabriOzturk,Giresun,../../images/partiler/akp.png
Ahmet Hamdi ÇAMLI,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/ahmethamdicamli,İstanbul,../../images/partiler/akp.png
Atay USLU,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/atayuslu,Antalya,../../images/partiler/akp.png
Şahin TİN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/sahin_tin,Denizli,../../images/partiler/akp.png
Cahit ÖZKAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/avcahitozkan,Denizli,../../images/partiler/akp.png
Orhan KIRCALI,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/AvOrhanKIRCALI,Samsun,../../images/partiler/akp.png
Kadim DURMAZ,Cumhuriyet Halk Partisi,CHP,https://twitter.com/kadimdurmaz,Tokat,../../images/partiler/chp.png
Gürsel EROL,Cumhuriyet Halk Partisi,CHP,https://twitter.com/gurselerol62,Elazığ,../../images/partiler/chp.png
Ali Cumhur TAŞKIN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/alicumhurtaskin,Mersin,../../images/partiler/akp.png
Yusuf BEYAZIT,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/yusufbeyazit60,Tokat,../../images/partiler/akp.png
Mustafa SAVAŞ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/aydinmsavas,Aydın,../../images/partiler/akp.png
Harun KARACAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/harun_karacan,Eskişehir,../../images/partiler/akp.png
Emine Nur GÜNAY,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/EmineNurGunay,Eskişehir,../../images/partiler/akp.png
Muhammet Müfit AYDIN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/mufitaydin16,Bursa,../../images/partiler/akp.png
Ebubekir BAL,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/ebubekirbal_,Diyarbakır,../../images/partiler/akp.png
Selahattin MİNSOLMAZ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/SMinsolmaz,Kırklareli,../../images/partiler/akp.png
Bedia ÖZGÖKÇE ERTAN,Halkların Demokratik Partisi,HDP,https://twitter.com/bediaozgokce,Van,../../images/partiler/hdp.png
İmran KILIÇ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/imranmkilic2023,Kahramanmaraş,../../images/partiler/akp.png
Ceyda BÖLÜNMEZ ÇANKIRI,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/ceydabc47,İzmir,../../images/partiler/akp.png
Salih CORA,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/corasalih,Trabzon,../../images/partiler/akp.png
Fatma Betül SAYAN KAYA,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/drbetulsayan,İstanbul,../../images/partiler/akp.png
Osman MESTEN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/osmanmesten16,Bursa,../../images/partiler/akp.png
Salim ÇİVİTCİOĞLU,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/scivitcioglu,Çankırı,../../images/partiler/akp.png
Hasan ÇİLEZ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/CilezHasan,Amasya,../../images/partiler/akp.png
Abdulkadir KARADUMAN,Saadet Partisi,SAADET,https://twitter.com/akadirkaraduman,Konya,../../images/partiler/saadet.png
Sermet ATAY,Milliyetçi Hareket Partisi,MHP,https://twitter.com/SermetAtay,Gaziantep,../../images/partiler/mhp.png
Hayati ARKAZ,Milliyetçi Hareket Partisi,MHP,https://twitter.com/ArkazHayati,İstanbul,../../images/partiler/mhp.png
Ali Muhittin TAŞDOĞAN,Milliyetçi Hareket Partisi,MHP,https://twitter.com/drtasdogan,Gaziantep,../../images/partiler/mhp.png
Muhammed AVCI,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/muhammedavci53,Rize,../../images/partiler/akp.png
Esin KARA,Milliyetçi Hareket Partisi,MHP,https://twitter.com/mhpesinkara,Konya,../../images/partiler/mhp.png
Mustafa Levent KARAHOCAGİL,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/mlkarahocagil,Amasya,../../images/partiler/akp.png
Fahrettin YOKUŞ,IYI Parti,IYI,https://twitter.com/fahrettinyokus,Konya,../../images/partiler/iyi.png
Yücel BULUT,Milliyetçi Hareket Partisi,MHP,https://twitter.com/yclblt06,Tokat,../../images/partiler/mhp.png
Zeynep GÜL YILMAZ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/avzeynepgul,Mersin,../../images/partiler/akp.png
Zeki Hakan SIDALI,IYI Parti,IYI,https://twitter.com/hakansidali,Mersin,../../images/partiler/iyi.png
Halil ÖZTÜRK,Milliyetçi Hareket Partisi,MHP,https://twitter.com/Avkthalilozturk,Kırıkkale,../../images/partiler/mhp.png
Metin Nurullah SAZAK,Milliyetçi Hareket Partisi,MHP,https://twitter.com/mnsazak,Eskişehir,../../images/partiler/mhp.png
Faruk SARIASLAN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/faruk_sariaslan,Nevşehir,../../images/partiler/chp.png
Ahmet ÖZYÜREK,Milliyetçi Hareket Partisi,MHP,https://twitter.com/ahmetozyurekmhp,Sivas,../../images/partiler/mhp.png
Pakize Mutlu AYDEMİR,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/mutlaydemir,Balıkesir,../../images/partiler/akp.png
Adil ÇELİK,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/adil_celik10,Balıkesir,../../images/partiler/akp.png
Yavuz SUBAŞI,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/yavuzsubasi,Balıkesir,../../images/partiler/akp.png
Belgin UYGUR,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/belginuygur10,Balıkesir,../../images/partiler/akp.png
Mustafa CANBEY,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/MustafaCanbey,Balıkesir,../../images/partiler/akp.png
Zemzem Gülender AÇANAL,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/gulenderacanal,Şanlıurfa,../../images/partiler/akp.png
Arslan KABUKCUOĞLU,IYI Parti,IYI,https://twitter.com/a_kabukcuoglu,Eskişehir,../../images/partiler/iyi.png
Yüksel ÖZKAN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/dryukselozkan,Bursa,../../images/partiler/chp.png
Jale Nur SÜLLÜ,Cumhuriyet Halk Partisi,CHP,https://twitter.com/jalenursullu,Eskişehir,../../images/partiler/chp.png
Ali ÖZTUNÇ,Cumhuriyet Halk Partisi,CHP,https://twitter.com/ali_oztunc,Kahramanmaraş,../../images/partiler/chp.png
Rizgin BİRLİK,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/rizgin__birlik,Şırnak,../../images/partiler/akp.png
Mustafa DESTİCİ,Büyük Birlik Partisi,BBP,https://twitter.com/mustafa_destici,Ankara,../../images/partiler/Büyük_Birlik_Partisi_logo.png
Gamze TAŞCIER,Cumhuriyet Halk Partisi,CHP,https://twitter.com/gamzetascier,Ankara,../../images/partiler/chp.png
Yıldırım KAYA,Cumhuriyet Halk Partisi,CHP,https://twitter.com/yildirimkaya40,Ankara,../../images/partiler/chp.png
Abdurrahman TUTDERE,Cumhuriyet Halk Partisi,CHP,https://twitter.com/avtutdere,Adıyaman,../../images/partiler/chp.png
Metin İLHAN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/drmetinilhan40,Kırşehir,../../images/partiler/chp.png
Yaşar YILDIRIM,Milliyetçi Hareket Partisi,MHP,https://twitter.com/yasaryldrmmhp,Ankara,../../images/partiler/mhp.png
Ahmet ÖNAL,Cumhuriyet Halk Partisi,CHP,https://twitter.com/onalahmet71,Kırıkkale,../../images/partiler/chp.png
Kadir AYDIN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/mvkadiraydin,Giresun,../../images/partiler/akp.png
Selman ÖZBOYACI,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/ozboyaciselman,Konya,../../images/partiler/akp.png
Cengiz DEMİRKAYA,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/cengizdmrky47,Mardin,../../images/partiler/akp.png
Şeyhmus DİNÇEL,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/seyhmusdincel47,Mardin,../../images/partiler/akp.png
Muhammed Fatih TOPRAK,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/toprak_av,Adıyaman,../../images/partiler/akp.png
Yakup TAŞ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/yakuptas02,Adıyaman,../../images/partiler/akp.png
Ayhan ALTINTAŞ,IYI Parti,IYI,https://twitter.com/ay_altintas,Ankara,../../images/partiler/iyi.png
Nevin TAŞLIÇAY,Milliyetçi Hareket Partisi,MHP,https://twitter.com/nevintaslicay,Ankara,../../images/partiler/mhp.png
Habibe ÖÇAL,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/habibeocal46,Kahramanmaraş,../../images/partiler/akp.png
Mehmet Cihat SEZAL,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/mcihatsezal,Kahramanmaraş,../../images/partiler/akp.png
Ahmet ÖZDEMİR,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/avahmetozdemir,Kahramanmaraş,../../images/partiler/akp.png
İsmail KAYA,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/kayaismail80,Osmaniye,../../images/partiler/akp.png
Baha ÜNLÜ,Cumhuriyet Halk Partisi,CHP,https://twitter.com/bahaunluchp,Osmaniye,../../images/partiler/chp.png
Ahmet BÜYÜKGÜMÜŞ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/abuyukgumus,Yalova,../../images/partiler/akp.png
İrfan KAPLAN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/irfankaplanchp,Gaziantep,../../images/partiler/chp.png
Özcan ÖZEL,Memleket Partisi,MEMLEKET,https://twitter.com/ozcanozel_,Yalova,../../images/partiler/memleket.png
Hasan KALYONCU,Milliyetçi Hareket Partisi,MHP,https://twitter.com/prhasankalyoncu,İzmir,../../images/partiler/mhp.png
Mehmet TAYTAK,Milliyetçi Hareket Partisi,MHP,https://twitter.com/mehmettaytakmhp,Afyonkarahisar,../../images/partiler/mhp.png
Mahir POLAT,Cumhuriyet Halk Partisi,CHP,https://twitter.com/mhrpolat,İzmir,../../images/partiler/chp.png
Fikret ŞAHİN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/fikretsahin10,Balıkesir,../../images/partiler/chp.png
Yusuf Ziya YILMAZ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/yzyilmaz55,Samsun,../../images/partiler/akp.png
İbrahim YURDUNUSEVEN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/avyurdunuseven,Afyonkarahisar,../../images/partiler/akp.png
Hasan BALTACI,Cumhuriyet Halk Partisi,CHP,https://twitter.com/hasanbaltacichp,Kastamonu,../../images/partiler/chp.png
Servet ÜNSAL,Cumhuriyet Halk Partisi,CHP,https://twitter.com/drservetunsal,Ankara,../../images/partiler/chp.png
Ertunç Erkan BALTA,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/e_erkanbalta,Artvin,../../images/partiler/akp.png
Barış AYDIN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/barisaydin06,Ankara,../../images/partiler/akp.png
Hüseyin Avni AKSOY,Memleket Partisi,MEMLEKET,https://twitter.com/dr_h_avniaksoy,Karabük,../../images/partiler/memleket.png
Eyüp ÖZSOY,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/eyupozsoymv,İstanbul,../../images/partiler/akp.png
Şenel YEDİYILDIZ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/senelyediyildiz,Ordu,../../images/partiler/akp.png
Tamer AKKAL,Adalet ve Kalkınma Partisi,AKP,,Manisa,../../images/partiler/akp.png
Burhan ÇAKIR,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/24burhancakir,Erzincan,../../images/partiler/akp.png
Süleyman KARAMAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/suleymankrmn,Erzincan,../../images/partiler/akp.png
Cengiz GÖKÇEL,Cumhuriyet Halk Partisi,CHP,https://twitter.com/cengiz_gokcel,Mersin,../../images/partiler/chp.png
Fatih Mehmet ŞEKER,BAĞIMSIZ,BAĞIMSIZ,,İstanbul,../../images/partiler/bagımsız.jpg
